ListSizes,TestResult
0,0
1000,9
2000,0
3000,0
4000,3
5000,0
6000,13
7000,3
8000,15
9000,3
10000,15
11000,13
12000,6
13000,11
14000,16
15000,16
16000,16
17000,14
18000,22
19000,20
20000,19
21000,23
22000,23
23000,27
24000,18
25000,28
26000,32
27000,28
28000,22
29000,28
30000,32
31000,31
32000,34
33000,37
34000,38
35000,32
36000,39
37000,39
38000,39
39000,38
40000,43
41000,40
42000,47
43000,46
44000,46
45000,48
46000,46
47000,47
48000,52
49000,51
50000,45
51000,60
52000,49
53000,59
54000,53
55000,59
56000,61
57000,60
58000,53
59000,63
60000,60
61000,62
62000,62
63000,65
64000,69
65000,67
66000,68
67000,71
68000,69
69000,66
70000,69
71000,79
72000,70
73000,76
74000,78
75000,79
76000,74
77000,80
78000,84
79000,79
80000,86
81000,85
82000,78
83000,82
84000,90
85000,84
86000,89
87000,91
88000,96
89000,98
90000,93
91000,93
92000,92
93000,94
94000,96
95000,96
96000,98
97000,100
98000,101
99000,102
100000,106
101000,103
102000,106
103000,106
104000,111
105000,107
106000,108
107000,112
108000,108
109000,115
110000,114
111000,112
112000,116
113000,113
114000,120
115000,127
116000,114
117000,124
118000,126
119000,130
120000,114
121000,128
122000,128
123000,134
124000,132
125000,138
126000,133
127000,133
128000,133
129000,131
130000,136
131000,142
132000,133
133000,140
134000,140
135000,136
136000,141
137000,142
138000,140
139000,148
140000,141
141000,142
142000,147
143000,147
144000,156
145000,151
146000,149
147000,181
148000,204
149000,153
150000,153
151000,162
152000,155
153000,157
154000,165
155000,172
156000,170
157000,170
158000,164
159000,162
160000,182
161000,178
162000,172
163000,181
164000,169
165000,177
166000,187
167000,174
168000,176
169000,179
170000,177
171000,179
172000,189
173000,175
174000,196
175000,184
176000,181
177000,183
178000,195
179000,199
180000,204
181000,200
182000,217
183000,198
184000,193
185000,201
186000,195
187000,203
188000,204
189000,204
190000,214
191000,206
192000,211
193000,200
194000,210
195000,208
196000,203
197000,212
198000,204
199000,199
