K,TestResult
0,0
1000,307
2000,338
3000,332
4000,379
5000,377
6000,384
7000,379
8000,361
9000,397
10000,382
11000,375
12000,365
13000,402
14000,400
15000,368
16000,387
17000,374
18000,385
19000,404
20000,389
21000,386
22000,411
23000,438
24000,411
25000,382
26000,395
27000,391
28000,389
29000,385
30000,394
31000,395
32000,400
33000,399
34000,388
35000,398
36000,389
37000,398
38000,396
39000,403
40000,401
41000,404
42000,425
43000,423
44000,403
45000,418
46000,415
47000,407
48000,417
49000,416
50000,449
51000,423
52000,412
53000,416
54000,480
55000,454
56000,418
57000,421
58000,425
59000,425
60000,414
61000,441
62000,403
63000,429
64000,406
65000,410
66000,408
67000,413
68000,466
69000,418
70000,406
71000,414
72000,410
73000,403
74000,404
75000,430
76000,416
77000,411
78000,405
79000,407
80000,415
81000,410
82000,424
83000,424
84000,427
85000,463
86000,426
87000,416
88000,412
89000,425
90000,445
91000,452
92000,438
93000,430
94000,417
95000,434
96000,446
97000,424
98000,430
99000,423
100000,430
101000,429
102000,424
103000,421
104000,423
105000,435
106000,436
107000,441
108000,425
109000,427
110000,427
111000,436
112000,421
113000,439
114000,419
115000,420
116000,437
117000,456
118000,468
119000,450
120000,427
121000,438
122000,455
123000,430
124000,436
125000,429
126000,468
127000,450
128000,471
129000,540
130000,436
131000,451
132000,483
133000,437
134000,437
135000,445
136000,427
137000,440
138000,444
139000,434
140000,444
141000,491
142000,445
143000,447
144000,440
145000,429
146000,437
147000,439
148000,442
149000,441
150000,444
151000,435
152000,434
153000,445
154000,432
155000,447
156000,436
157000,437
158000,436
159000,432
160000,435
161000,457
162000,445
163000,453
164000,445
165000,432
166000,454
167000,448
168000,458
169000,442
170000,436
171000,435
172000,496
173000,498
174000,487
175000,450
176000,473
177000,471
178000,454
179000,447
180000,466
181000,462
182000,491
183000,522
184000,485
185000,455
186000,471
187000,508
188000,485
189000,492
190000,466
191000,491
192000,496
193000,462
194000,503
195000,502
196000,457
197000,477
198000,473
199000,455
