DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,1
2000,1,1,1
3000,2,1,2
4000,3,2,3
5000,5,2,3
6000,7,4,6
7000,10,5,12
8000,11,6,7
9000,14,5,7
10000,17,7,7
11000,26,11,13
12000,31,12,13
13000,36,12,14
14000,42,13,13
15000,46,15,14
16000,53,16,15
17000,59,17,15
18000,63,20,15
19000,75,20,16
20000,78,24,16
21000,119,35,28
22000,142,35,28
23000,157,39,28
24000,166,43,28
25000,175,42,28
26000,186,45,29
27000,198,47,29
28000,224,50,30
29000,223,56,30
30000,239,62,30
31000,274,62,32
32000,295,63,32
33000,331,67,31
34000,340,69,34
35000,373,73,35
36000,393,78,33
37000,420,82,33
38000,494,86,34
39000,567,89,35
40000,489,96,34
41000,625,131,57
42000,689,140,57
43000,810,140,58
44000,767,144,58
45000,791,150,60
46000,888,159,62
47000,846,159,60
48000,1008,165,60
49000,941,171,60
50000,1063,177,60
51000,1098,188,65
52000,1102,190,67
53000,1154,201,61
54000,1148,207,62
55000,1299,213,63
56000,1373,225,63
57000,1296,232,64
58000,1372,228,68
59000,1450,254,67
60000,1473,244,65
61000,1585,260,65
62000,1669,267,70
63000,1662,285,68
64000,1711,290,67
65000,1770,301,67
66000,1923,296,68
67000,1844,326,70
68000,1922,334,71
69000,2021,338,72
70000,2002,346,71
71000,2245,358,72
72000,2321,364,74
73000,2296,384,72
74000,2374,399,72
75000,2829,388,77
76000,2567,408,72
77000,2549,420,78
78000,2460,423,78
79000,2808,462,73
